edit_index,case_id,rewrite_acc,rephrase_acc
264,64,1.0,0.0
265,65,1.0,0.0
266,66,1.0,1.0
267,67,1.0,1.0
268,68,1.0,1.0
269,69,1.0,0.0
270,70,1.0,0.0
271,71,1.0,1.0
272,72,1.0,0.0
273,73,1.0,1.0
274,74,1.0,1.0
275,75,1.0,1.0
276,76,1.0,1.0
277,77,1.0,0.0
278,78,1.0,1.0
279,79,1.0,1.0
280,80,1.0,1.0
281,81,1.0,1.0
282,82,1.0,1.0
283,83,1.0,0.0
284,84,1.0,1.0
285,85,1.0,1.0
286,86,1.0,0.0
287,87,1.0,1.0
288,88,1.0,1.0
289,89,1.0,0.0
290,90,1.0,1.0
291,91,1.0,1.0
292,92,1.0,1.0
293,93,1.0,1.0
294,94,1.0,1.0
295,95,1.0,1.0
296,96,1.0,1.0
297,97,1.0,0.0
298,98,1.0,1.0
299,99,1.0,1.0
300,0,1.0,0.0
301,1,1.0,1.0
302,2,1.0,1.0
303,3,1.0,1.0
304,4,1.0,1.0
305,5,1.0,1.0
306,6,1.0,1.0
307,7,1.0,1.0
308,8,1.0,1.0
309,9,1.0,0.0
310,10,1.0,1.0
311,11,1.0,1.0
312,12,1.0,1.0
313,13,1.0,1.0
314,14,1.0,1.0
315,15,1.0,0.0
316,16,1.0,1.0
317,17,1.0,0.0
318,18,1.0,1.0
319,19,1.0,1.0
320,20,1.0,0.0
321,21,1.0,0.0
322,22,1.0,1.0
323,23,1.0,1.0
324,24,1.0,1.0
325,25,1.0,1.0
326,26,1.0,1.0
327,27,1.0,1.0
328,28,1.0,1.0
329,29,1.0,0.0
330,30,1.0,0.0
331,31,1.0,1.0
332,32,1.0,0.0
333,33,1.0,0.5
334,34,1.0,1.0
335,35,1.0,1.0
336,36,1.0,1.0
337,37,1.0,1.0
338,38,1.0,0.0
339,39,1.0,1.0
340,40,1.0,0.0
341,41,1.0,1.0
342,42,1.0,1.0
343,43,1.0,1.0
344,44,1.0,1.0
345,45,1.0,0.0
346,46,1.0,1.0
347,47,1.0,1.0
348,48,1.0,1.0
349,49,1.0,1.0
350,50,1.0,0.0
351,51,1.0,1.0
352,52,1.0,1.0
353,53,1.0,1.0
354,54,1.0,0.0
355,55,1.0,0.0
356,56,1.0,1.0
357,57,1.0,1.0
358,58,1.0,1.0
359,59,1.0,1.0
360,60,1.0,1.0
361,61,1.0,0.0
362,62,1.0,1.0
363,63,1.0,1.0
364,64,1.0,0.0
365,65,1.0,0.0
366,66,1.0,1.0
367,67,1.0,1.0
368,68,1.0,1.0
369,69,1.0,1.0
370,70,1.0,1.0
371,71,1.0,1.0
372,72,1.0,0.0
373,73,1.0,1.0
374,74,1.0,1.0
375,75,1.0,0.5
376,76,1.0,1.0
377,77,1.0,1.0
378,78,1.0,1.0
379,79,1.0,1.0
380,80,1.0,1.0
381,81,1.0,1.0
382,82,1.0,1.0
383,83,1.0,1.0
384,84,1.0,1.0
385,85,1.0,1.0
386,86,1.0,1.0
387,87,1.0,1.0
388,88,1.0,1.0
389,89,1.0,0.0
390,90,1.0,0.0
391,91,1.0,1.0
392,92,1.0,0.0
393,93,1.0,1.0
394,94,1.0,1.0
395,95,1.0,1.0
396,96,1.0,1.0
397,97,1.0,0.0
398,98,1.0,1.0
399,99,1.0,0.0
400,0,1.0,0.0
401,1,1.0,1.0
402,2,1.0,1.0
403,3,1.0,1.0
404,4,1.0,1.0
405,5,1.0,1.0
406,6,1.0,1.0
407,7,1.0,1.0
408,8,1.0,1.0
409,9,1.0,1.0
410,10,1.0,1.0
411,11,1.0,1.0
412,12,1.0,1.0
413,13,1.0,0.0
414,14,1.0,1.0
415,15,1.0,0.0
416,16,1.0,0.0
417,17,1.0,0.0
418,18,1.0,1.0
419,19,1.0,0.0
420,20,1.0,1.0
421,21,1.0,0.0
422,22,1.0,1.0
423,23,1.0,1.0
424,24,1.0,1.0
425,25,1.0,1.0
426,26,1.0,1.0
427,27,1.0,1.0
428,28,1.0,0.0
429,29,1.0,1.0
430,30,1.0,0.0
431,31,1.0,1.0
432,32,1.0,1.0
433,33,1.0,1.0
434,34,1.0,1.0
435,35,1.0,1.0
436,36,1.0,0.0
437,37,1.0,1.0
438,38,1.0,0.0
439,39,1.0,1.0
440,40,1.0,0.0
441,41,1.0,1.0
442,42,1.0,1.0
443,43,1.0,1.0
444,44,1.0,1.0
445,45,1.0,1.0
446,46,1.0,1.0
447,47,1.0,1.0
448,48,1.0,0.0
449,49,1.0,0.0
450,50,1.0,1.0
451,51,1.0,1.0
452,52,1.0,0.0
453,53,1.0,0.0
454,54,1.0,0.0
455,55,1.0,1.0
456,56,1.0,0.0
457,57,1.0,1.0
458,58,1.0,1.0
459,59,1.0,1.0
460,60,1.0,0.0
461,61,1.0,1.0
462,62,1.0,1.0
463,63,1.0,1.0
464,64,1.0,1.0
465,65,1.0,0.0
466,66,1.0,1.0
467,67,1.0,1.0
468,68,1.0,1.0
469,69,1.0,1.0
470,70,1.0,0.0
471,71,1.0,1.0
472,72,1.0,0.0
473,73,1.0,1.0
474,74,1.0,1.0
475,75,1.0,0.0
476,76,1.0,1.0
477,77,1.0,1.0
478,78,1.0,0.0
479,79,1.0,1.0
480,80,1.0,1.0
481,81,1.0,1.0
482,82,1.0,1.0
483,83,1.0,0.0
484,84,1.0,1.0
485,85,1.0,1.0
486,86,1.0,0.0
487,87,1.0,1.0
488,88,1.0,1.0
489,89,1.0,1.0
490,90,1.0,0.0
491,91,1.0,1.0
492,92,1.0,1.0
493,93,1.0,1.0
494,94,1.0,0.0
495,95,1.0,1.0
496,96,1.0,0.0
497,97,1.0,1.0
498,98,1.0,1.0
499,99,1.0,0.0
500,0,1.0,1.0
501,1,1.0,1.0
502,2,1.0,0.0
503,3,1.0,1.0
504,4,1.0,1.0
505,5,1.0,1.0
506,6,1.0,1.0
507,7,1.0,1.0
508,8,1.0,1.0
509,9,1.0,1.0
510,10,1.0,1.0
511,11,1.0,1.0
512,12,1.0,1.0
513,13,1.0,1.0
514,14,1.0,1.0
515,15,1.0,1.0
516,16,1.0,1.0
517,17,1.0,1.0
518,18,1.0,0.0
519,19,1.0,0.0
520,20,1.0,0.0
521,21,1.0,1.0
522,22,1.0,1.0
523,23,1.0,0.0
524,24,1.0,1.0
525,25,1.0,0.0
526,26,1.0,1.0
527,27,1.0,1.0
528,28,1.0,1.0
529,29,1.0,0.0
530,30,1.0,0.0
531,31,1.0,1.0
532,32,1.0,1.0
533,33,1.0,1.0
534,34,1.0,1.0
535,35,1.0,0.0
536,36,1.0,1.0
537,37,1.0,0.0
538,38,1.0,1.0
539,39,1.0,1.0
540,40,1.0,1.0
541,41,1.0,1.0
542,42,1.0,1.0
543,43,1.0,1.0
544,44,1.0,1.0
545,45,1.0,1.0
546,46,1.0,0.0
547,47,1.0,1.0
548,48,1.0,1.0
549,49,1.0,1.0
550,50,1.0,0.0
551,51,1.0,1.0
552,52,1.0,1.0
553,53,1.0,1.0
554,54,1.0,1.0
555,55,1.0,0.0
556,56,1.0,1.0
557,57,1.0,1.0
558,58,1.0,1.0
559,59,1.0,1.0
560,60,1.0,1.0
561,61,1.0,1.0
562,62,1.0,0.0
563,63,1.0,1.0
564,64,1.0,1.0
565,65,1.0,1.0
566,66,1.0,0.0
567,67,1.0,1.0
568,68,1.0,1.0
569,69,1.0,1.0
570,70,1.0,1.0
571,71,1.0,0.0
572,72,1.0,1.0
573,73,1.0,1.0
574,74,1.0,0.0
575,75,1.0,1.0
576,76,1.0,0.0
577,77,1.0,1.0
578,78,1.0,0.0
579,79,1.0,0.0
580,80,1.0,1.0
581,81,1.0,0.0
582,82,1.0,1.0
583,83,1.0,0.0
584,84,1.0,1.0
585,85,1.0,0.0
586,86,1.0,1.0
587,87,1.0,1.0
588,88,1.0,1.0
589,89,1.0,0.0
590,90,1.0,0.0
591,91,1.0,1.0
592,92,1.0,1.0
593,93,1.0,1.0
594,94,1.0,1.0
595,95,1.0,1.0
596,96,1.0,0.0
597,97,1.0,1.0
598,98,1.0,1.0
599,99,1.0,0.0
600,0,1.0,0.0
601,1,1.0,1.0
602,2,1.0,0.0
603,3,1.0,1.0
604,4,1.0,1.0
605,5,1.0,1.0
606,6,1.0,0.0
607,7,1.0,0.0
608,8,1.0,1.0
609,9,1.0,1.0
610,10,1.0,1.0
611,11,1.0,0.0
612,12,1.0,1.0
613,13,1.0,1.0
614,14,1.0,1.0
615,15,1.0,0.0
616,16,1.0,1.0
617,17,1.0,1.0
618,18,1.0,1.0
619,19,1.0,0.0
620,20,1.0,0.0
621,21,1.0,0.0
622,22,1.0,1.0
623,23,1.0,1.0
624,24,1.0,1.0
625,25,1.0,1.0
626,26,1.0,1.0
627,27,1.0,1.0
628,28,1.0,1.0
629,29,1.0,1.0
630,30,1.0,0.0
631,31,1.0,1.0
632,32,1.0,1.0
633,33,1.0,1.0
634,34,1.0,0.0
635,35,1.0,1.0
636,36,1.0,1.0
637,37,1.0,1.0
638,38,1.0,1.0
639,39,1.0,1.0
640,40,1.0,0.0
641,41,1.0,1.0
642,42,1.0,0.0
643,43,1.0,1.0
644,44,1.0,1.0
645,45,1.0,0.0
646,46,1.0,1.0
647,47,1.0,0.0
648,48,1.0,1.0
649,49,1.0,1.0
650,50,1.0,0.0
651,51,1.0,1.0
652,52,1.0,1.0
653,53,1.0,1.0
654,54,1.0,1.0
655,55,1.0,1.0
656,56,1.0,0.0
657,57,1.0,1.0
658,58,1.0,1.0
659,59,1.0,1.0
660,60,1.0,1.0
661,61,1.0,1.0
662,62,1.0,1.0
663,63,1.0,1.0
664,64,1.0,1.0
665,65,1.0,0.0
666,66,1.0,1.0
667,67,1.0,1.0
668,68,1.0,0.0
669,69,1.0,1.0
670,70,1.0,0.0
671,71,1.0,0.0
672,72,1.0,1.0
673,73,1.0,1.0
674,74,1.0,1.0
675,75,1.0,0.5
676,76,1.0,0.0
677,77,1.0,0.0
678,78,1.0,1.0
679,79,1.0,0.0
680,80,1.0,1.0
681,81,1.0,1.0
682,82,1.0,1.0
683,83,1.0,1.0
684,84,1.0,1.0
685,85,1.0,1.0
686,86,1.0,1.0
687,87,1.0,1.0
688,88,1.0,1.0
689,89,1.0,0.0
690,90,1.0,1.0
691,91,1.0,1.0
692,92,1.0,1.0
693,93,1.0,1.0
694,94,1.0,0.0
695,95,1.0,1.0
696,96,1.0,0.0
697,97,1.0,0.0
698,98,1.0,1.0
699,99,1.0,1.0
700,0,1.0,1.0
701,1,1.0,1.0
702,2,1.0,1.0
703,3,1.0,0.0
704,4,1.0,1.0
705,5,1.0,0.0
706,6,1.0,1.0
707,7,1.0,1.0
708,8,1.0,0.0
709,9,1.0,1.0
710,10,1.0,1.0
711,11,1.0,1.0
712,12,1.0,1.0
713,13,1.0,1.0
714,14,1.0,1.0
715,15,1.0,0.0
716,16,1.0,0.0
717,17,1.0,1.0
718,18,1.0,1.0
719,19,1.0,1.0
720,20,1.0,1.0
721,21,1.0,1.0
722,22,1.0,0.0
723,23,1.0,0.0
724,24,1.0,1.0
725,25,1.0,1.0
726,26,1.0,1.0
727,27,1.0,0.0
728,28,1.0,1.0
729,29,1.0,1.0
730,30,1.0,1.0
731,31,1.0,1.0
732,32,1.0,1.0
733,33,1.0,1.0
734,34,1.0,1.0
735,35,1.0,1.0
736,36,1.0,1.0
737,37,1.0,1.0
738,38,1.0,1.0
739,39,1.0,1.0
740,40,1.0,1.0
741,41,1.0,0.0
742,42,1.0,0.0
743,43,1.0,1.0
744,44,1.0,1.0
745,45,1.0,1.0
746,46,1.0,1.0
747,47,1.0,1.0
748,48,1.0,1.0
749,49,1.0,1.0
750,50,1.0,1.0
751,51,1.0,1.0
752,52,1.0,1.0
753,53,1.0,0.0
754,54,1.0,0.0
755,55,1.0,1.0
756,56,1.0,1.0
757,57,1.0,1.0
758,58,1.0,1.0
759,59,1.0,1.0
760,60,1.0,1.0
761,61,1.0,0.0
762,62,1.0,1.0
763,63,1.0,1.0
764,64,1.0,1.0
765,65,1.0,1.0
766,66,1.0,1.0
767,67,1.0,1.0
768,68,1.0,1.0
769,69,1.0,1.0
770,70,1.0,1.0
771,71,1.0,1.0
772,72,1.0,1.0
773,73,1.0,0.0
774,74,1.0,1.0
775,75,1.0,1.0
776,76,1.0,1.0
777,77,1.0,1.0
778,78,1.0,1.0
779,79,1.0,1.0
780,80,1.0,1.0
781,81,1.0,1.0
782,82,1.0,1.0
783,83,1.0,1.0
784,84,1.0,1.0
785,85,1.0,1.0
786,86,1.0,1.0
787,87,1.0,1.0
788,88,1.0,1.0
789,89,1.0,1.0
790,90,1.0,1.0
791,91,1.0,1.0
792,92,1.0,1.0
793,93,1.0,0.0
794,94,1.0,0.0
795,95,1.0,1.0
796,96,1.0,1.0
797,97,1.0,0.0
798,98,1.0,1.0
799,99,1.0,0.0
800,0,1.0,1.0
801,1,1.0,1.0
802,2,1.0,1.0
803,3,1.0,1.0
804,4,1.0,0.0
805,5,1.0,1.0
806,6,1.0,1.0
807,7,1.0,0.0
808,8,1.0,1.0
809,9,1.0,1.0
810,10,1.0,1.0
811,11,1.0,0.0
812,12,1.0,1.0
813,13,1.0,1.0
814,14,1.0,1.0
815,15,1.0,1.0
816,16,1.0,1.0
817,17,1.0,1.0
818,18,1.0,1.0
819,19,1.0,1.0
820,20,1.0,1.0
821,21,1.0,1.0
822,22,1.0,1.0
823,23,1.0,1.0
824,24,1.0,0.0
825,25,1.0,1.0
826,26,1.0,1.0
827,27,1.0,1.0
828,28,1.0,1.0
829,29,1.0,0.0
830,30,1.0,1.0
831,31,1.0,1.0
832,32,1.0,1.0
833,33,1.0,0.0
834,34,1.0,1.0
835,35,1.0,1.0
836,36,1.0,1.0
837,37,1.0,1.0
838,38,1.0,1.0
839,39,1.0,1.0
840,40,1.0,1.0
841,41,1.0,0.0
842,42,1.0,0.0
843,43,1.0,1.0
844,44,1.0,1.0
845,45,1.0,1.0
846,46,1.0,1.0
847,47,1.0,1.0
848,48,1.0,1.0
849,49,1.0,1.0
850,50,1.0,1.0
851,51,1.0,1.0
852,52,1.0,1.0
853,53,1.0,1.0
854,54,1.0,1.0
855,55,1.0,1.0
856,56,1.0,1.0
857,57,1.0,1.0
858,58,1.0,1.0
859,59,1.0,1.0
860,60,1.0,1.0
861,61,1.0,1.0
862,62,1.0,0.0
863,63,1.0,1.0
864,64,1.0,1.0
865,65,1.0,0.0
866,66,1.0,1.0
867,67,1.0,1.0
868,68,1.0,1.0
869,69,1.0,1.0
870,70,1.0,1.0
871,71,1.0,1.0
872,72,1.0,1.0
873,73,1.0,1.0
874,74,1.0,1.0
875,75,1.0,1.0
876,76,1.0,0.0
877,77,1.0,1.0
878,78,1.0,1.0
879,79,1.0,1.0
880,80,1.0,0.0
881,81,1.0,1.0
882,82,1.0,1.0
883,83,1.0,1.0
884,84,1.0,1.0
885,85,1.0,0.0
886,86,1.0,1.0
887,87,1.0,1.0
888,88,1.0,1.0
889,89,1.0,1.0
890,90,1.0,1.0
891,91,1.0,1.0
892,92,1.0,1.0
893,93,1.0,1.0
894,94,1.0,1.0
895,95,1.0,0.0
896,96,1.0,0.0
897,97,1.0,1.0
898,98,1.0,1.0
899,99,1.0,1.0
900,0,1.0,1.0
901,1,1.0,1.0
902,2,1.0,1.0
903,3,1.0,1.0
904,4,1.0,0.0
905,5,1.0,1.0
906,6,1.0,1.0
907,7,1.0,1.0
908,8,1.0,1.0
909,9,1.0,1.0
910,10,1.0,0.0
911,11,1.0,1.0
912,12,1.0,0.0
913,13,1.0,1.0
914,14,1.0,1.0
915,15,1.0,1.0
916,16,1.0,1.0
917,17,1.0,0.0
918,18,1.0,1.0
919,19,1.0,1.0
920,20,1.0,0.0
921,21,1.0,1.0
922,22,1.0,1.0
923,23,1.0,1.0
924,24,1.0,1.0
925,25,1.0,0.0
926,26,1.0,1.0
927,27,1.0,0.0
928,28,1.0,1.0
929,29,1.0,0.0
930,30,1.0,1.0
931,31,1.0,1.0
932,32,1.0,1.0
933,33,1.0,0.0
934,34,1.0,1.0
935,35,1.0,1.0
936,36,1.0,1.0
937,37,1.0,1.0
938,38,1.0,0.0
939,39,1.0,1.0
940,40,1.0,1.0
941,41,1.0,0.0
942,42,1.0,1.0
943,43,1.0,1.0
944,44,1.0,0.0
945,45,1.0,1.0
946,46,1.0,1.0
947,47,1.0,1.0
948,48,1.0,0.0
949,49,1.0,1.0
950,50,1.0,0.0
951,51,1.0,1.0
952,52,1.0,0.5
953,53,1.0,0.0
954,54,1.0,1.0
955,55,1.0,1.0
956,56,1.0,1.0
957,57,1.0,1.0
958,58,1.0,0.0
959,59,1.0,1.0
960,60,1.0,1.0
961,61,1.0,0.0
962,62,1.0,1.0
963,63,1.0,1.0
964,64,1.0,0.0
965,65,1.0,1.0
966,66,1.0,1.0
967,67,1.0,1.0
968,68,1.0,1.0
969,69,1.0,0.0
970,70,1.0,0.0
971,71,1.0,1.0
972,72,1.0,0.0
973,73,1.0,0.0
974,74,1.0,1.0
975,75,1.0,1.0
976,76,1.0,0.0
977,77,1.0,1.0
978,78,1.0,1.0
979,79,1.0,1.0
980,80,1.0,1.0
981,81,1.0,0.0
982,82,1.0,0.0
983,83,1.0,1.0
984,84,1.0,0.0
985,85,1.0,0.0
986,86,1.0,0.0
987,87,1.0,1.0
988,88,1.0,0.0
989,89,1.0,1.0
990,90,1.0,1.0
991,91,1.0,1.0
992,92,1.0,1.0
993,93,1.0,1.0
994,94,1.0,1.0
995,95,1.0,0.0
996,96,1.0,0.0
997,97,1.0,0.0
998,98,1.0,1.0
999,99,1.0,1.0
